id;transcription;domain;intent;slots
1;Quero que acendas as luces do salón;house commands;lights;action, location
2;Acende a lámpada da entrada;house commands;lights;action, location
3;Poderías acender as luces da cociña?;house commands;lights;action, location
4;Xa estamos en casa, acende tódalas luces;house commands;lights;action, location
5;Por favor, prende a lámpada do despacho;house commands;lights;action, location
6;Prende as luces do dormitorio;house commands;lights;action, location
7;Podes acender tódalas lámpadas do salón?;house commands;lights;action, location
8;Acende as luces do baño;house commands;lights;action, location
9;Acende a lámpada;house commands;lights;action, location
10;Activa as luces da casa;house commands;lights;action, location
11;Prende as luces;house commands;lights;action, location
12;Non vexo nada, prende a luz;house commands;lights;action, location
13;Está escuro, acende as luces;house commands;lights;action, location
14;Ola, acende tódalas luces da casa;house commands;lights;action, location
15;Poderías prender a lámpada de lectura?;house commands;lights;action, location
16;Acende a luz do salón, que xa está escuro;house commands;lights;action, location
17;Prende a luz do despacho, que case non vexo nada;house commands;lights;action, location
18;Podes prender as lámpadas?;house commands;lights;action, location
19;Prender luces;house commands;lights;action, location
20;Acende a luz;house commands;lights;action, location
21;Acende as luces, que xa vai noite;house commands;lights;action, location
22;Acende as luces, que xa vai ben entrada a noite;house commands;lights;action, location
23;Acende as luces;house commands;lights;action, location
24;Fágase a luz;house commands;lights;action, location
25;Acende as lámpadas;house commands;lights;action, location
26;Apaga tódalas luces da vivenda, por favor;house commands;lights;action, location
27;Desactiva a lámpada do meu despacho;house commands;lights;action, location
28;Faime o favor de apagar tódalas luces acendidas;house commands;lights;action, location
29;Quero que apagues as luces da cociña;house commands;lights;action, location
30;Podes apagar as luces do baño?;house commands;lights;action, location
31;Apaga a lámpada da entrada;house commands;lights;action, location
32;Poderías apagar tódalas luces do despacho?;house commands;lights;action, location
33;Marcho que teño que marchar, apaga tódalas luces;house commands;lights;action, location
34;Desactiva as luces da cociña, queres?;house commands;lights;action, location
35;Por favor, apaga a luz da cociña;house commands;lights;action, location
36;Apaga a luz do despacho, que xa amenceu;house commands;lights;action, location
37;Podes apagar a luz?;house commands;lights;action, location
38;Desactiva a lámpada da habitación;house commands;lights;action, location
39;Apaga tódalas lámpadas;house commands;lights;action, location
40;Apagar luces;house commands;lights;action, location
41;Apagar luz;house commands;lights;action, location
42;Apaga a luz, que vexo de sobra;house commands;lights;action, location
43;Poderías desactivar as luces da cociña?;house commands;lights;action, location
44;Gustaríame que apagases tódalas luces;house commands;lights;action, location
45;Apaga a lámpada de lectura;house commands;lights;action, location
46;Podes apagar tódalas luces da vivenda?;house commands;lights;action, location
47;Apaga tódalas luces;house commands;lights;action, location
48;Apaga as luces, que xa é día;house commands;lights;action, location
49;Ai, apágame as luces!;house commands;lights;action, location
50;Apaga a luz;house commands;lights;action, location
51;Acende a lámpada vermella;house commands;lights;action, location
52;Apaga a lámpada amarela;house commands;lights;action, location
53;Pon as luces en modo cine;house commands;lights;action, location
54;Activa o modo festa nas luces;house commands;lights;action, location
55;Cambia a cor das luces a azul;house commands;lights;action, location
56;Cambia o modo das luces a cálido;house commands;lights;action, location
57;Acéndeme aí a luz do comedor;house commands;lights;action, location
58;Quero que actives o modo cine no salón;house commands;lights;action, location
