column1;audios;date;domain;intent;lastModified;sentence;sentenceid;slots
0;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Quero que acendas as luces do salón;5ec918d3-9cba-4409-acc1-e4ca6e0b3216;['action', 'location']
1;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Acende a lámpada da entrada;0cb8f659-bafa-462e-bd7d-7521789f55d6;['action', 'location']
2;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Poderías acender as luces da cociña?;726ce747-7cb7-4c2c-bf36-f6a104074810;['action', 'location']
3;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Xa estamos en casa, acende tódalas luces;3d1aa293-36c4-48b8-adf3-fac3ac2fa943;['action', 'location']
4;76;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Por favor, prende a lámpada do despacho;fba18c08-8491-49a1-aaaf-d03411aae370;['action', 'location']
5;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Prende as luces do dormitorio;6a469677-a0c9-4874-9835-87ae4894cdb6;['action', 'location']
6;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Podes acender tódalas lámpadas do salón?;51c3aece-faee-4155-bca7-c4577e194923;['action', 'location']
7;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Acende as luces do baño;215bb9c3-afad-4705-8e29-ff8b98978f2f;['action', 'location']
8;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Acende a lámpada;21a797c3-92a5-4caf-8bb3-5afcc357b3d7;['action', 'location']
9;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Activa as luces da casa;5e48479b-e69e-4223-8dc0-710d24c21ce7;['action', 'location']
10;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Prende as luces;73ce5b55-a625-4098-8ce0-c85942d1dd64;['action', 'location']
11;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Non vexo nada, prende a luz;1a0b7555-ceb6-4a54-96fd-382f50f23cc0;['action', 'location']
12;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Está escuro, acende as luces;27c26777-e0d5-411a-af7e-77678cb7efc7;['action', 'location']
13;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Ola, acende tódalas luces da casa;b591cd79-1cc1-4a31-a722-2a9ebcb42013;['action', 'location']
14;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Poderías prender a lámpada de lectura?;0aaefeac-b939-428e-a3bf-63c16ecaeef5;['action', 'location']
15;74;18/08/2022 7:51;house commands;lights;23/08/2022 8:19;Acende a luz do salón, que xa está escuro;e80c339d-2edf-4c34-a53c-ab9216f87467;['action', 'location']
16;74;18/08/2022 7:51;house commands;lights;23/08/2022 8:19;Prende a luz do despacho, que case non vexo nada;977ee84e-778e-4eda-a495-acc639181453;['action', 'location']
17;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Podes prender as lámpadas?;8943b3e0-bafa-4cf8-9cf4-f7716b49f9a6;['action', 'location']
18;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Prender luces;dd282564-c198-4ea2-8f36-f6c2d0490b36;['action', 'location']
19;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Acende a luz;f513e574-34dc-493a-af1a-9a2e30a307f4;['action', 'location']
20;73;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Apaga tódalas luces da vivenda, por favor;c2ff19e3-b4c7-4d00-9212-03ca08de9b92;['action', 'location']
21;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Desactiva a lámpada do meu despacho;5a6b9e70-1e35-4894-9245-33354b01b834;['action', 'location']
22;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Faime o favor de apagar tódalas luces acendidas;5450cbe7-5b86-4e25-961c-f089dee6cf4f;['action', 'location']
23;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Quero que apagues as luces da cociña;6b32175b-04ac-4d41-8922-7e63e9e59ec1;['action', 'location']
24;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Podes apagar as luces do baño?;ccb0f677-b417-4869-9705-254fed3c48c9;['action', 'location']
25;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Apaga a lámpada da entrada;834b0522-1484-4085-baf1-ab1609b93ffa;['action', 'location']
26;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Poderías apagar tódalas luces do despacho?;3f5efe5d-937c-40bd-88ed-163dbe068b94;['action', 'location']
27;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Desactiva as luces da cociña, queres?;3af5db66-e82a-48d0-a7f8-52da4cb4e361;['action', 'location']
28;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Por favor, apaga a luz da cociña;2b10f107-d074-46a7-ab58-c48f8b26798a;['action', 'location']
29;75;18/08/2022 7:51;house commands;lights;23/08/2022 8:20;Apaga a luz do despacho, que xa amenceu;532a0b73-7ef1-4c89-ab95-dde06e1c30a8;['action', 'location']
30;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Podes apagar a luz?;92340922-4f4c-400c-b55e-9ec8fb893d0e;['action', 'location']
31;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Desactiva a lámpada da habitación;ac7aa09e-a600-4d4b-9c1b-5a4444d14422;['action', 'location']
32;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Apaga tódalas lámpadas;a4c230b6-0106-4c7a-9d64-bc25951299c0;['action', 'location']
33;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Apagar luces;7a371193-9647-4813-809d-b3e2c489c451;['action', 'location']
34;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Apagar luz;8c525796-c1b7-46b8-9be7-bfa3d28ef41a;['action', 'location']
35;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Apaga a luz, que vexo de sobra;3fe74e63-876d-40ae-b033-d1dcce8d6586;['action', 'location']
36;74;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Poderías desactivar as luces da cociña?;b4b46857-e14e-4c44-bc66-3e5d4f182681;['action', 'location']
37;76;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Gustaríame que apagases tódalas luces;9e798069-9878-48a9-a086-bf92a6aec80e;['action', 'location']
38;75;18/08/2022 7:51;house commands;lights;18/08/2022 7:51;Apaga a lámpada de lectura;a003b480-c277-4c9c-bf71-a89b79662c6f;['action', 'location']
39;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Poderías acender o calefactor do baño?;e357ba21-9712-466f-af31-7980c75168b7;['action', 'location']
40;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Quero que prendas a calefacción do salón;0fdb9c72-de1e-41d6-9f45-799164ec85b3;['action', 'location']
41;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Pon a calefacción;535a528f-97a6-498c-abde-a8e5127243dd;['action', 'location']
42;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Faime o favor de pór a calefacción a funcionar;7aa65121-2c1e-491f-9f32-56f50ddb8494;['action', 'location']
43;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Acende os radiadores da casa;e5fa4ecd-ad33-42de-8874-8a21895b1e76;['action', 'location']
44;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Podes acender o radiador da habitación?;e0638a1a-1a04-4795-b79c-83179d241753;['action', 'location']
45;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Prende a calefacción na vivenda, por favor;95bf8a7a-3eae-45d5-8ec8-20cf42af1577;['action', 'location']
46;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Quero que acendas o calefactor da cociña;7f63e870-496b-4c73-8dd5-07800a60362f;['action', 'location']
47;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Podes acender tódolos radiadores?;ca145dce-fc72-4c4e-9d74-5acfd6d793d1;['action', 'location']
48;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Activa o radiador do salón;79d54772-c5c4-40c5-9eb4-3855380faa46;['action', 'location']
49;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Prende a calefacción;d4de7725-1299-4d19-8f04-841c1ae6b04a;['action', 'location']
50;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Acende a calefacción na casa;3ed568ee-bd8d-4715-8d18-4043a6470988;['action', 'location']
51;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Activa a calefacción, por favor;82d70e3a-a644-4b04-af5a-257613feb0af;['action', 'location']
52;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Poderías acender os radiadores do baño?;eac23bb9-7597-469d-a100-5e3131a899f2;['action', 'location']
53;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Activa os radiadores;238c4cac-6d18-49c1-98f5-272ca7f5aecd;['action', 'location']
54;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Acende os calefactores da casa;1fc59256-ac75-49ef-a91e-02e7038fcb79;['action', 'location']
55;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Gustaríame que prenderas os calefactores;e86c4909-8a05-44de-a0df-91d02d252d5d;['action', 'location']
56;75;18/08/2022 7:51;house commands;heat;23/08/2022 8:20;Prende o radiador, que teño frío;d9f10325-8c22-4ff2-9838-242b0dcf0ee4;['action', 'location']
57;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Podes acender a calefacción?;2b9b83bf-77b8-4053-b0c1-7c7e201b3424;['action', 'location']
58;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Acender calefacción;c76267fe-d1a9-4989-bd3a-68c95d72e879;['action', 'location']
59;123;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Apaga a calefacción;f0738cfa-762b-4561-8c8a-b2f2bb4cc96b;['action', 'location']
60;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Apaga tódolos radiadores;550e846e-5ccc-4f08-868f-98b3b8fbcfcc;['action', 'location']
61;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Apaga os calefactores da habitación;a32174d7-90ac-4056-a4e6-21848a1981ef;['action', 'location']
62;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Desactiva a calefacción, que xa fai calor;ec02082c-71b3-4305-87b5-23df2bb77711;['action', 'location']
63;75;18/08/2022 7:51;house commands;heat;23/08/2022 8:20;Apaga os radiadores, que xa se está ben;408ab221-97b0-4357-a380-fd54ae5b921b;['action', 'location']
64;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Quero que apagues a calefacción;4d3efa0b-f0e0-42c8-9af9-6cab1da5e8ae;['action', 'location']
65;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Podes apagar os radiadores do salón?;1f351100-0ad1-4e8a-a9b2-2242839956f8;['action', 'location']
66;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Apagar calefacción;1d931865-4f59-4f6e-a1dc-4c080c91d78f;['action', 'location']
67;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Desactivar radiadores;4a71a4f1-aee0-4cb4-8091-79eead1666b9;['action', 'location']
68;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Apaga os radiadores do salón;c6c25967-99aa-4b96-8a08-99f0743cdb4e;['action', 'location']
69;74;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Apaga tódolos calefactores;8d56f2eb-dde7-4764-b0ef-428037848dd8;['action', 'location']
70;75;18/08/2022 7:51;house commands;heat;18/08/2022 7:51;Podes desactivar a calefacción?;9dc1f547-88e4-4642-98dd-05615202369c;['action', 'location']
71;75;18/08/2022 7:52;house commands;heat;18/08/2022 11:37;Quero que apagues a calefacción, que fai calor;513185df-7f94-4743-aa9d-6e0b89f86e23;['action', 'location']
72;74;18/08/2022 7:52;house commands;heat;18/08/2022 7:52;Apaga a calefacción da habitación;571e5f4d-7c9a-41c9-a392-363efd4e0c4e;['action', 'location']
73;74;18/08/2022 7:52;house commands;heat;18/08/2022 7:52;Por favor, apaga o calefactor do baño;d7f0434d-53e1-4589-b516-7963e5d14bdf;['action', 'location']
74;74;18/08/2022 7:52;house commands;heat;18/08/2022 7:52;Faime o favor de apagar a calefacción no salón;f99c1746-1f42-4484-b71d-d4bcde6b982b;['action', 'location']
75;74;18/08/2022 7:52;house commands;heat;18/08/2022 7:52;Desactiva os radiadores no baño;b6d91fb2-d820-4dcf-be23-387476a6bc35;['action', 'location']
76;75;18/08/2022 7:52;house commands;heat;18/08/2022 7:52;Desactivar calefacción;e80eb180-57d9-48a7-8f0b-762694a8c8b2;['action', 'location']
77;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Sube o volume da música, por favor;a8e42058-a815-4303-83b3-60969a1bee96;['action', ' level', ' type']
78;120;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Sube o volume;76c7bfa1-977a-4e4f-a7bc-bdcc9bab5780;['action', ' level', ' type']
79;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Quero máis volume nesta canción;6d469639-4375-4757-8ed2-c384e2ac5329;['action', ' level', ' type']
80;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Sube o volume ao sesenta por cento;8752f158-8e98-4324-8864-789601db9319;['action', ' level', ' type']
81;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Dálle voz á música;c3fe8e75-bff6-47b9-9db6-21f48e025fc4;['action', ' level', ' type']
82;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Sube a tope o volume nesta canción;2acb31a6-8123-4611-a5a4-994e529f8976;['action', ' level', ' type']
83;73;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Sube a música un dez por cento;c8cc3f82-f9cc-4a7c-aa87-ee43b329f2d8;['action', ' level', ' type']
84;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Súbeme un pouquiño a música;acee9db6-6775-4802-8c69-5a084838c964;['action', ' level', ' type']
85;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Dálle máis voz á radio;db0bb798-631d-4bc7-a3ee-7184e0e0c9e7;['action', ' level', ' type']
86;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Quero que subas o volume do podcast;69af8ef3-ef23-4207-8ca3-32cf34172661;['action', ' level', ' type']
87;74;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Podes subir o volume catro puntos?;9bfb88a0-bb7a-4a0c-89d0-b9f9027221ce;['action', ' level', ' type']
88;75;18/08/2022 7:52;house commands;music;23/08/2022 8:18;Dálle máis voz ao programa de radio, que non escoito nada;eddb1557-234e-4479-8cfe-2edfe1fc8787;['action', ' level', ' type']
89;75;18/08/2022 7:52;house commands;music;18/08/2022 7:52;Non escoito ben, podes subir o volume?;56ea479f-4901-41cc-ad9e-536c0b42e11b;['action', ' level', ' type']
