column1;accent;age_range;gender;location;province;userid
0;central;range-50_59;masculino;32004;32;4fcbdc4d-498a-4629-a73f-84488d3f1f04
1;neofalante;range-20_29;masculino;36057;36;58f6d2e7-4437-4d4c-b2c1-ad68c7026726
2;oriental;range-20_29;masculino;not-shared;not-shared;8f01479d-e66b-4781-ba14-c542febe78d6
3;normativo;range-40_49;femenino;27042;27;6f9b92af-0b4f-4848-95ef-25c789eb3ba3
4;neofalante;range-40_49;masculino;15075;15;b7a551fd-2334-4734-a3f3-c37c146f2aed
5;atlantico;less-19;femenino;15018;15;780ee917-fde0-4c35-a1d1-b7c7bbdcff6a
6;neofalante;range-20_29;masculino;36057;36;de87b9bb-0d76-4cd8-9d42-4e84788afe16
7;central;range-50_59;masculino;32004;32;86e27e78-a5d3-4b6d-bea4-9cc6f5908949
8;neofalante;less-19;not-shared;not-shared;not-shared;ee7fe3b1-4a3f-4481-8acc-fbccb783ea5b
9;central;range-50_59;masculino;32004;32;821f7b7a-afe7-47da-865c-fc0f91bbda5f
10;atlantico;range-50_59;femenino;27047;27;98e5f5ff-0e5b-4ba5-85ed-af00135aae60
11;not-shared;not-shared;not-shared;not-shared;not-shared;59cb57c8-ab1a-4c25-b318-4184599b2adf
12;neofalante;range-20_29;femenino;32014;32;77851984-6653-4ca7-a056-318775314bb5
13;atlantico;range-30_39;femenino;27018;27;beb9bbe6-9dac-4da1-8f8e-e8c5bd7c7608
14;neofalante;range-20_29;masculino;36057;36;608263a1-bb49-4bf1-b71b-34cd599d2eef
15;central;range-50_59;masculino;32004;32;88018d5c-bc78-4855-9a3a-01b6702fe20c
16;central;range-50_59;masculino;32004;32;77a13282-1e92-48d3-b374-d326f0fb3ab2
17;normativo;range-20_29;masculino;15093;15;5382847c-69d1-4f50-ab1f-fd136449f4ef
18;central;range-50_59;masculino;32004;32;7ee2ab29-c544-4afb-ac8d-f386403d6335
19;neofalante;range-20_29;masculino;36057;36;06e44bf3-600c-464d-8811-c59ec86d9d7c
20;not-shared;not-shared;not-shared;not-shared;not-shared;2f171e87-20f5-4bdd-9eb5-ee9a95fc2279
21;not-shared;not-shared;not-shared;not-shared;not-shared;fa48094b-d7ce-4595-aa6f-983a9dc93f05
22;neofalante;range-20_29;masculino;36057;36;f3be9882-72b4-4e78-be0f-9aef893b0936
23;oriental;range-40_49;femenino;27042;27;cca10daa-6097-4ed6-90ad-c75228f03c4e
24;central;range-50_59;masculino;32004;32;15cafe5a-dc89-4126-8e8e-a2df020d45b3
25;central;range-50_59;masculino;32004;32;35e4e27c-e3b9-44f7-be8d-bb42c64adfe5
26;central;range-50_59;masculino;32004;32;bc6a8138-8038-4a25-90bd-92ff6df54b88
27;central;range-50_59;masculino;32004;32;0a767f7b-bcb8-4f45-9d02-2adc8bd9e021
28;neofalante;range-20_29;masculino;36057;36;2ab41b14-5ef7-4620-b464-6f31217efe86
29;neofalante;range-20_29;masculino;36057;36;d3e0fa62-fa3b-4cde-a5b7-c011fc771d6a
30;normativo;range-40_49;masculino;15078;15;15af4ead-f6dc-461d-8743-c8e2cfa60a52
